CryoSleep,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,FamilyName,TotalFee,C_Num,HomePlanet_Europa,HomePlanet_Earth,HomePlanet_Mars,Destination_TRAPPIST-1e,Destination_PSO J318.5-22,Destination_55 Cancri e,Father,Student,YoungAdult,Young,Adult,Unknown,GrandFather,HightSchool,Kinder,School,C_Deck_B,C_Deck_F,C_Deck_A,C_Deck_G,C_Deck_C,C_Deck_E,C_Deck_D,C_Deck_T,C_Side_P,C_Side_S
1,0,0.0,0.0,0.0,0.0,0.0,201,0.0,426.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1151,0.0,107.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,34.0,223.0,1559.0,0.0,0.0,710,1816.0,393.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,309.0,542.0,0.0,0.0,55.0,1276,906.0,268.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0.0,0.0,0.0,0.0,741.0,204,741.0,1838.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,623.0,1827.0,0.0,0.0,1009,2450.0,1209.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,3087.0,0.0,60.0,2.0,0.0,2018,3149.0,151.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1041,0.0,217.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0.0,1.0,0.0,8620.0,1063.0,1895,9684.0,10.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,2199,0.0,266.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1527,0.0,903.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1735,0.0,239.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,612,0.0,433.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,221.0,0.0,32.0,38.0,516.0,1320,807.0,486.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,10.0,0.0,908.0,5.0,0.0,1592,923.0,1064.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,520,0.0,178.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1015.0,0.0,0.0,0.0,1.0,1590,1016.0,244.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,124.0,0.0,1763.0,0.0,1014.0,1012,2901.0,661.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1896,0.0,249.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,860,0.0,78.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,172.0,0.0,338.0,9.0,0.0,1534,519.0,184.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,47.0,0.0,263.0,384.0,1679,694.0,263.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,32.0,0.0,876.0,0.0,0.0,1573,908.0,82.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1626,0.0,56.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,2008,0.0,67.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,2211,0.0,82.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1,828.0,0.0,572.0,1367.0,0.0,1981,2767.0,237.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0.0,0.0,0.0,0.0,0.0,346,0.0,91.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,662.0,34.0,0.0,79.0,148.0,978,923.0,1078.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,7484.0,465.0,14.0,610.0,772,8573.0,175.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1849,0.0,933.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,552.0,0.0,7.0,0.0,183.0,1617,742.0,1116.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,846.0,0.0,280.0,280.0,0.0,186,1406.0,1121.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,12.0,0.0,7967.0,15.0,12,7994.0,107.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,338,0.0,707.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,864,0.0,165.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,592,0.0,121.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,1.0,10029.0,1.0,1679.0,27.0,1400,11737.0,195.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,437,0.0,252.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,555.0,0.0,744.0,0.0,0.0,1621,1299.0,91.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0.0,129.0,0.0,177.0,444.0,2139,750.0,1382.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1161,0.0,544.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0.0,0.0,0.0,0.0,0.0,150,0.0,439.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,703.0,0.0,0.0,0.0,0.0,940,703.0,876.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1455,0.0,198.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.0,0.0,185.0,584.0,0.0,1411,769.0,1237.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,2049,0.0,193.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,660,0.0,109.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,0,1215.0,0.0,0.0,0.0,0.0,2198,1215.0,1867.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1752.0,22.0,0.0,4.0,0.0,658,1778.0,64.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,211,0.0,82.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,2.0,83.0,576.0,37.0,0.0,1732,698.0,1710.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,0.0,0.0,669.0,16.0,327,685.0,1375.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,574.0,0.0,0.0,68.0,118,642.0,336.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,98.0,456.0,277.0,70.0,349,901.0,1687.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,992.0,0.0,14.0,0.0,0.0,728,1006.0,145.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,478,0.0,510.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,819,0.0,281.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,174.0,0.0,0.0,630.0,0.0,1879,804.0,172.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,0.0,692.0,18.0,0.0,437,710.0,1259.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1760,0.0,316.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1808,0.0,154.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1796.0,0.0,4.0,0.0,5.0,2194,1805.0,660.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,1277,0.0,117.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1806.0,0.0,47.0,0.0,0.0,2041,1853.0,1452.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,520,0.0,178.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,539.0,1269.0,38.0,0.0,0.0,857,1846.0,299.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,817,0.0,1167.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1939,0.0,339.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,2130,0.0,659.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0.0,0.0,736.0,0.0,0.0,274,736.0,602.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,647.0,1.0,32.0,71.0,140.0,167,891.0,933.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,56.0,0.0,81.0,0.0,468.0,159,605.0,1461.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1387,0.0,146.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1789,0.0,180.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1994,0.0,150.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,248.0,0.0,0.0,4.0,0.0,519,252.0,1507.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,146.0,654.0,1.0,0.0,2.0,1779,803.0,64.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1306,0.0,638.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,837,0.0,1697.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,5.0,3.0,0.0,0.0,154,8.0,44.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0.0,0.0,0.0,0.0,0.0,2118,0.0,1808.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,388.0,0.0,7.0,409.0,0.0,326,804.0,433.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,140.0,127.0,0.0,4102.0,521.0,1798,4890.0,61.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,2.0,3846.0,0.0,3.0,346.0,1675,4197.0,119.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,866.0,0.0,0.0,0.0,23.0,843,889.0,767.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,336,0.0,1061.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,2.0,1311.0,60.0,28.0,1.0,1367,1402.0,244.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,787.0,0.0,88.0,0.0,0.0,462,875.0,120.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,84.0,0.0,308.0,0.0,1179.0,1849,1571.0,1685.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1138,0.0,178.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,2026,0.0,261.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,289.0,1809.0,3.0,2.0,2.0,1011,2105.0,1260.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1285.0,0.0,14.0,1386.0,0.0,136,2685.0,958.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1324,0.0,1544.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,49.0,322.0,977.0,0.0,0.0,1641,1348.0,1743.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,656.0,295.0,0.0,35.0,1330,986.0,286.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1417,0.0,1220.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0.0,198.0,703.0,1.0,0.0,1021,902.0,787.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,351,0.0,862.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,60.0,0.0,646.0,1115.0,1743,1821.0,292.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0.0,0.0,0.0,4.0,811.0,612,815.0,552.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0.0,835.0,0.0,38.0,0.0,1064,873.0,28.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.0,412.0,0.0,5491.0,234.0,505,6137.0,246.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,190,0.0,57.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1.0,0.0,5.0,1022.0,151.0,2045,1179.0,33.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0.0,0.0,0.0,1586.0,0.0,2197,1586.0,1450.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,100.0,0.0,1402.0,1462.0,1882,2964.0,82.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0.0,8160.0,205.0,0.0,438.0,1961,8803.0,301.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,1647,0.0,247.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,274.0,8.0,0.0,19.0,466.0,1376,767.0,794.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,1321,0.0,1572.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,3,0.0,279.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1781.0,0.0,17.0,0.0,23.0,1124,1821.0,1395.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0.0,0.0,693.0,3.0,77.0,1713,773.0,894.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0.0,0.0,0.0,0.0,0.0,951,0.0,21.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,5.0,623.0,88.0,5.0,1.0,115,722.0,606.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
